neg_content,pos_attr
เพิ่งไปกินมาวันนี้<mask>โอ๊คเลย,"['แนะนํา', 'อร่อย', 'มากก', 'ไปลอง']"
เพิ่งไปกินมาเอง<mask>ร้านอื่นเส้น555,"['ช่วยกัน', 'ช่วยลดขยะได้เยอะเลย', 'สะอาด', 'ไปอีกคิดเอง', '😊']"
ังคนจนออกเสียงแมคโดนัลแล้วแบบ.น.ฮ่วย,['ฟิน']
มากินที่โลตัสปทุมทำไมพนักงานบอก599อ่ะคู่,"['น่ารักมากๆ', 'น่ารัก', 'สวยๆ', 'ค่ะไป', 'รักเลย']"
แก่กล้าใช้นินซ์อะคน<mask>เยอะกลัวใช้ละ<mask>,['มิได้อวย']
<mask>อาหารญี่ปุ่นลาบน้ำตกส้มตำ<mask>ว่า,"['ชอบ', '❤']"
ไม่ว่าแล้วเบียร์ช้าง<mask><mask>กุ<mask>,['กุอยากแดก']
ังมิได้รถเลยคับน้ารอรถอยู่คับcivicfc,"['สวย', 'ชอบ', 'ชอบ', 'ชอบ', 'ชอบสินค้า', 'สวยยัง', 'ชอบ', 'ไม่ผิดหวัง', 'สวย']"
รัฐบาลนี้มีแต่<mask>บริหารประเทศ<mask>ทุกตัว,"['มีวิวภูเขา', 'อากาศดี', 'เงียบสงบ']"
เอดส์<mask>นี่สีถุนกว่าเหล้าขาว40ดีกรีอีก,['ไม่เหม็น']
อลีเอะสีเขียวเกลงในแทบฉีกใช้มาจะ10ปีละ,"['ปายาได้', 'พาไป', 'ประทับใจ', 'เวชต่อไปครับ']"
วันนี้ในdiorสาขาแฟชั่น<mask>เลย,['วันนี้เลย']
สาขา<mask>เข้าร่วมโปรโมชั่นใด😡,"['อะไรจะดีขนาดนั้น', 'ต้องลอง', 'ไปลอง', 'เคยใช้มาไม่เลอะ', 'go']"
<mask>จริงครับหาหูฟังมาใส่ขึ้นครับ,"['แนะนํา', 'อร่อย', 'มากก', 'ไปลอง']"
แสง<mask>เน้อตื่นยาก<mask>ขำหัวอีก.,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณแสง', 'ขอบคุณ', 'มากค่ะ', '❤']"
นูกินเอ็มเคอยู่ทิ้งไปชะเง้อมิได้จริง,"['เอ็มเคได้', 'อยากกิน']"
<mask>เรากินเห็ดน.<mask>พ.ศ.เดวัยนี้ทานแต่ชาบู,"['อร่อย', 'ชอบๆๆ']"
แหมบุหรี่ไฟฟ้า<mask><mask>,['ได้ก็เพราะบุหรี่ไฟฟ้า']
ยากกินเบียร์เป็นนี่ขนาดกินสปายายังขม😣,['อยากกิน']
อยากกินเบียร์หมีแต่ทำไมแถวบ้านไม่😭,"['เอ็มเคได้', 'อยากกิน']"
วันนี้ไหมในแต่ซีคอนปิด<mask>อยู่น่ะ😥,"['อร่อย', 'อาหารทะเลสด', 'กับหอยนางรมตัวใหญ่', 'รีบไปกิน']"
ินนิสีฟรีสั่งไปจะเดือนละยังมิได้เลยเว้ย,"['ทั้งนุ่มและป้องกันการ', 'มากแถมยัง', 'ง่าย']"
ไฮเนเก้นขวดละ140ทำไมมัน<mask>ชาวบ้าน,"['ชอบ', 'ดื่มสิงห์รู้สึกมัน', 'อร่อย']"
1530มีคนทำงานไหมจะ<mask>,"['ฉ่ํา', 'นัก', 'นัก', 'นัก', 'นัก', 'อยากไป', 'สนใจ', 'แค่ไหนก็ไม่หวั่นค่ะ']"
ลิ่นแรงยิ่งกว่า285อีกกลมกล่อมตรงกันเยอะๆๆ,['อีกแรง']
กินปูอะร้อนท้องกินsmirnoffร้อนคอเลย<mask>,"['อยากกิน', 'อยากกินอะ', 'อยากกิน']"
กินไรก็ได้ขอ<mask>ไว้อย่างละกันฮือ,"['รถคันเล็กประหยัดน้ํามัน', 'รักhonda', 'ง่าย', 'นั่งสบาย', 'ไปกัน', 'จุของได้เยอะ', 'ฟิน', 'เลิฟ']"
ข้าใจเล่นนะพ.ศ.กว่าจะเข้าได้หมดทุกคูปอง,"['สวย', 'สวย', 'สวย', 'สวยสุด', 'สวย']"
วมตัวผู้หญิงใช้ตำรวจชายเหรอช่วยตอบด้วย,"['น่าสนใจ', 'ดูไม่ประดิษฐ์', 'สบายใจที่คุยด้วย']"
เคยทำงาน<mask>รวมตัวเกือบแสนล้าน,[]
แค่กินฟูลงมูน<mask>ไปหมดแร้ววว,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินบ', 'อยากกิน', 'ไปด้วย', 'ก็จะไปกิน']"
<mask>กินสีเมออฟที่แล้วกินที่<mask>ทุกที,['จะกิน']
เจอ<mask>คือ<mask>ตั้งแต่ลูกระนาดในซอย,"['ผิวน้ํานี่แหละที่', 'พลุปีใหม่ในที่สุดก็ได้', 'ช่วยกัน', 'สวย', 'ได้รับชมแถมยังเป็น', 'เราไม่ค่อยได้กลิ่นควัน', '😊']"
ตามเผือกงานshowในอยู่เงียบงาน<mask>จริง,"['ส่วนตัวชอบ', 'อยากไป', 'ชอบ', 'มากๆๆค่ะ']"
แต่ผมชอบกินช้างนะเพราะ<mask>ๆๆ,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินนะ', 'อยากกิน']"
ถ้าจะ<mask>แล้วบ้าไม่ไปจับอ่อ,"['พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้', 'พรุ่งนี้จะ', 'พรุ่งนี้', 'ไปกินเห็นแล้ว']"
<mask>ไฟฟ้าในวัดต้องยึดวัดด้วยป่ะ,"['2.ไป', 'ไปกัน', 'บรรยากาศดี', 'ก็อร่อย', '👍']"
รัพย์สินพี่เขาซื้อมาริมึงได้เป็น100ๆๆคัน,"['นี้โปรดปราน', 'พร้อม', 'ลุย']"
ทำไมต้องใช้ของburberryกันจังวะ<mask>ลง,"['ชนะเลิศ', 'ไปเพราะวันนี้', 'เลิศ', '🎉', '👍', '✌', 'ดีจริง']"
ำไมเวลาเราไปกินไม่ให้เลือกเยอะขนาดนี้,"['กําลังใจ', 'จังหวะทํานองติดหูมาก', 'อยากไป', 'อยากไป', 'อยากไป', 'อยากไปโยก', 'อยากไป', 'เลยค่ะเป็นเพลงที่', 'เราชอบ', 'มากๆๆ', 'ก็อยากจะไป', 'axเราไป', '✨']"
ทำไมอ่าเดี๋ยวหนีไปทำเอมเค<mask>5,['ไป']
น่าสงสารนาวาร่าจังรถดีแต่วางตลาด<mask>,['😘']
เน็ต<mask><mask>เต็มแต่<mask>วิ่ง,"['เรือแบบไม่หงุดหงิด', 'แล้วไม่กลิ่นควัน', 'อากาศเย็น', 'อากาศมากๆๆๆ']"
เนตเร็วนะแต่<mask>เข้าเวชอื่นลื่นปึ้ด,"['ประทับใจ', 'จะได้ไป', 'ตื่นเต้น', 'พาไป', 'ตื่นตาตื่นใจ', 'ไปหมดแค่', 'ไปกินบาบี', 'ชอบ', 'ร้อนๆๆแตก', 'เย็นสบาย', '😋', 'อร่อยมาก', 'ผ้านุ่มมาก', 'ดีใจ', 'มากกก', 'สู้จะอธิบาย', 'เลยอยากมาอีก', 'รู้สึกดี', 'บ้านทุกครั้งที่ได้', 'อบอุ่น', '❤']"
บุหรี่ไฟฟ้านะมิใช่บ้ามึงก็บ้า<mask>,['ได้ก็เพราะบุหรี่ไฟฟ้า']
<mask>เธอมากพอกันการกินเอ็มเคทุกอาทิตย์เลย,['ชอบมาก']
<mask>แล้วกินไก่อยากกินเป็ดย่างเอ็มเคในrov,"['กินเอ็มเคแล้ว', 'อยากกิน']"
ผมขับcivicน.ในแถมติด<mask>เลยกุ,['สุดครับ']
ผมเจอ<mask>ครับ<mask>ที่แล้ว,"['กําลังใจ', 'จังหวะทํานองติดหูมาก', 'อยากไป', 'อยากไป', 'อยากไป', 'อยากไปโยก', 'อยากไป', 'เลยค่ะเป็นเพลงที่', 'เราชอบ', 'มากๆๆ', 'ก็อยากจะไป', 'axเราไป', '✨']"
<mask>กว่าผลtcasอีกไอ่<mask>!!!,['ไม่เหม็น']
ผู้เวลาไปถ่ายinnisfreeนี่งานดี<mask>เบย,"['ไปๆๆ', 'ดีๆๆแค่นี้ต้อง', 'ไม่พลาด']"
พิ่งเคยกินอาชาอร่อยกว่าช้างอีก5,['ไม่เหม็น']
<mask>เบียร์ช้าง3ขวด360บาทขวดละ120,"['กําลังดี', 'พร้อม', 'เย็นๆ']"
มันคุ้มกับสุขภาพของเราที่<mask>ไปจริงเหรอใน,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินฉลอง', 'อยากกิน', 'อร่อย']"
<mask><mask>น.,"['ชอบ', 'มั่นใจในการบริการ', 'มีคุณภาพ']"
<mask>ไลน์อาหารของฮอท<mask>ทำเท่าไรงิ,"['แนะนํา', 'wo', 'ชอบ', 'ติดใจ', 'มากๆๆ', 'มันต้องมี', 'จัดไป', 'เลยค่าการ', 'ไปลอง', 'เพื่อนบอกว่าหรู', 'เลิศ', 'อร่อย', 'มากค่ะ']"
มิได้ตังภาษีเหมือนบุหรี่<mask>5,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
าริคันล่ะล้านห้าแน่เลยนึกว่าขับฟอร์จูน,['ยอดเยี่ยม']
ลดมาเดือนนึงตอนขึ้นอาทิตย์เดียว<mask>ค่ะ,[]
ผันผ่อนไปกินบาบีกอในบทจะหยุดเลย<mask>,['ไปกินเถอะ']
ไว้มาๆๆแต่<mask>บอนชอนแล่วงอยากกินพี่ก้อน,"['แนะนํา', 'อร่อย', 'มากก', 'ไปลอง']"
<mask>จัง<mask><mask>,['อร่อย']
แสงสีนี่นำกุสู่ความ<mask>ตลอดเลยนะอล<mask>,"['ชอบ', 'ชอบ', 'ชอบ', 'ชอบแสง', 'ชอบ']"
กลายเพื่อให้สะสมซอง<mask>คือ,"['หล่อ', 'รอยยิ้มและสายตา', 'ไปเลยอ่ะใน', 'ออร่าความผัว', 'พร้อม', 'รักthecr']"
เออนึกถึงกูแล้วจะ<mask>กันด้านหน้า🤣,"['อยากกิน', 'ปะ']"
แอดแม่ลง<mask>เพลงประกอบโฆษณาผ้าอนามัยเฉยๆๆ,['เพลงติดหู']
โอ้โฮ<mask>เอ็มเคไม่ทำดอกไม้แล้วใน,"['กินเอ็มเคแล้ว', 'อยากกิน']"
285แสงสีหงส์ทองกูกินไม้เป็น<mask>ทั้งกรม,"['ขอบ', 'มากเลยค่ะ']"
altis<mask>หวือในซ่อมบำรุงรถยนต์,['😍']
oyotach-rซื้อลอตแรกๆๆระวังกันด้วยนะครับ,"['ว้าว', 'ว้าว', 'ว้าว', 'ว้าว', 'ขอแสดงความยินดีด้วย']"
<mask>แม่ลง<mask>รายได้,"['สู้ๆๆ', 'ใจให้ครับ']"
กินเบียร์ยูที<mask>มากินไฮเก้นนี่<mask>เลย,['กินเลย']
กุ้ง<mask>กุ้งยังไม่😠,['หอมไม่อันตราย']
กุเอาลิปholikaholikaไปไว้ไหนวะ<mask>ละ,"['ไป', 'ปะ', 'ๆๆอยาก']"
กียร์เข้าง่ายกว่ารถฟอร์ดเรนเจอร์ในอีก555,['ไม่เหม็น']
ข้าวผัดกระเทียมข้าวแฉะ<mask>เบย,"['ละเอียดไม่ระคายเคือง', 'สิวนี่หายไป', 'ๆๆของดี', 'ว้าว', 'สู้น้า', '👍', '💖', 'สะอาด']"
ค่าอี<mask>โอนเงินอินนิสีฟรีปุ๊บโปสคอนมาปั๊บ,"['ราคาดี', 'ต้องไป']"
จริงตั้งใจจะไปซื้อnyxรถ<mask>ยางรั่วก่อน,"['ต้องรุ่นนี้', 'มันเป็นรถที่เสน่ห์', 'มากๆๆ', 'ใกล้แล้วๆๆปล', 'ไปให้ถึง']"
ช่วยตรวจสอบให้หน่อยนะแนตกากมาก5วัน<mask>3รอบ,"['อยากไป', 'อยากไป', 'อยากไป', 'อยากไปวันที่', 'อยากไป', 'มากๆๆเลยครับ', 'กลมกล่อม']"
ชอบกินบัวลายน้ำขิงของในมากอ่ะแต่<mask>,"['ด้วยค่ะดอกเบี้ยถูก', 'มากค่ะ', 'สนใจ']"
้างจาก65เป็น118ในต้องแดกเหล้าขาวละมั้ง,"['แบบไม่กลัวแดด', 'ไม่เหนียว', 'ไม่เป็นคราบและ', 'ที่สุดใน']"
ช็คสิทธิดีๆๆมะคะผันผ่อนไปกินที่เมกะ399ค่ะ,['มึงไปแดก']
ซึ่งกูออกญาซื้อสิงห์กินเพราะคนแม่ลงเยอะ<mask>,['มากกก']
เซ็ตอินนิสีฟรี5ตัดใจไม่ลงหว่า<mask>,"['ที่สําคัญเนื้อดี', 'น้ําหอมไม่ใส่เคมี', 'ที่ชอบ', 'สวยมาก', 'สวย', 'เกลี่ยง่าย']"
ซ็นทรัลลาดพร้าวคนเยอะมากในไม่โต๊ะนั้ง,"['เพลงเพราะสําหรับคน', 'ร้านไม่ใหญ่มาก']"
ต้องขนาดนั้นเลยไปเช่าชุด<mask>กินอีกนะ55,"['ดีต้อง', 'ชอบมาก', 'ติดทน', '😘']"
<mask>เถิดเช่าชุดไปกับข้าวด้วยหรอเอาๆๆๆ,"['ไปด้วย', 'อยากกิน']"
<mask>5แต่ละที่<mask>ทั้งนานนม,"['ชอบ', 'เค้าจะเนื้อเบา', 'ติดทน', 'เราจะเป็นคราบ', 'กันเหงื่อด้วยแถมยัง', 'ชุ่มชื่น', '❤']"
ถ้าไปโชว์ดีซีต้องว่างทั้งนั้นอะเพราะ<mask>มาก,"['จะพาเค้าไป', 'ดีอ่ะ', 'อยากเที่ยว', 'ไปตระเวน', 'อยากไป', 'กับวิวภูเขาไฟ', 'ดีๆๆของเราทั้ง', 'ฟิน', 'นั่งดื่มชิว']"
ำไมในในnetflixถึงมีแค่7ตอนเองแง,[]
นิกสัน<mask>มากเวอร์,"['มากคับ', 'แข็งแรงทนทาน']"
นี่แม่ลงถึงกะแดกช้างเลยเหรอโหแม่ลงโครต<mask>,"['อยาก', 'อยาก', 'อยาก', 'อยากแดก', 'อยาก']"
ประเทศไทย<mask>เอาอยู่แล้วตั้งแต่มีรถปส.,"['ผิวน้ํานี่แหละที่', 'พลุปีใหม่ในที่สุดก็ได้', 'ช่วยกัน', 'สวย', 'ได้รับชมแถมยังเป็น', 'เราไม่ค่อยได้กลิ่นควัน', '😊']"
เป็น<mask>ทำไมมาอยู่ตรงนี้หื้ม..,"['กําลังใจ', 'สู้ๆๆ']"
<mask>กาวให้กูแน่นนำมิได้หรอวะ,"['ขอขอบคุณ', 'ขอบคุณมาก', 'ฝากชื่นชม', 'ขอบคุณ', 'ป๊าไป', 'ประทับใจ', 'ยิ้มได้ตลอดเวลาเลยค่ะ']"
ผ้าอนามัยยาว40ซมกูนี่คิดว่าผ้าอ้อม<mask>,"['ใช้ได้ดี', 'ดีครับ']"
นลงเอ็มเคต้องเหวี่ยงขนาดนี้มั้ยกลัว5,"['🎉', 'ทั้งถูกทั้งดี', 'ไม่เกิดสิว']"
พี่ครับใช้สมูทอีแล้ว<mask>และหน้าแข้ง,"['เก่งของพี่ได้อีก', 'ยินดีด้วยลูก']"
อร์ดที่ขายได้เพราะรถมันดีมิใช่ชื่อเสียง,"['ด้วยค่ะดอกเบี้ยถูก', 'มากค่ะ', 'สนใจ']"
เมื่อก่อนกินแม่ลงทุกหน<mask>,"['รสชาตินุ่ม', '😘']"
ไม่บอกว่าจะในศพ<mask>ไป<mask><mask>อารมณ์,"['ไปกันไป', 'ที่ไหนก็ไม่หวั่นห', 'รักเลยค่ะ', 'ชุ่มชื่น', 'สดชื่น', 'อยากกิน', 'มากเลยค่ะ', 'ติดใจ', 'เริ่ด']"
บ้าเกร่อนเมืองไม่จับ<mask><mask>,"['รับรองอันดีจ้า', 'ดีจริง']"
ถซิตี้เปิดประตูด้านคนขับจากบ้านนอกมิได้,"['ชอบ', 'ชอบ', 'ชอบ', 'ชอบnew', 'ชอบ', 'ลุย', 'กว้างขวาง', 'สะดวกสบาย', 'ที่สุด']"
รถโรงงานนิกสันออกแล้ว<mask>มาก5,"['สวยมาก', 'สวยๆ']"
เราหน้ามันค่ะถ้าใช้biothermคงรำคาญอะ😂,"['ไม่ผิดหวัง', '❤']"
เลื่อนไปกูก็<mask>มึงค่ะในเลื่อน<mask>,"['ก็ยังเลือกพรรค', 'เพื่อไทย']"
ล้วตอนจับทำไมทำแบบนั้นแรงกว่าจับยาเสพติด,"['ดีอะ', 'หน้าเนียนปั๊บมาก', 'เนื้อไม่หนาเกิน', 'นะสบายผิว', 'ก็สวย', 'เลิศ', 'เยี่ยม', 'เราชื่นชม']"
ภาพหลังจากโดนฟอร์จูนเนอร์ขับตามตูดตัดทาง,"['มากๆๆ', 'สวย', '😍']"
สมัครใน<mask>สู้จะดูเรื่องไร,"['จะกิน', 'ก็ชอบ', 'อร่อย', 'ทิสุด']"
สรุปคือมิใช่พยาธิ<mask>พ.ศ.แหวะพ.ศ.,['อยากกก']
สอบถามรถใน3ป้ายแดงใส่<mask>ในใน,"['เล็กๆ', 'โคตรใช่ผม', 'สวย', 'ไปหน่อย', 'มันส์ๆๆ', 'ชอบ', 'นั่งสบาย', 'ไปฮ่าๆๆ']"
<mask>อะก้อนน่ามีที่สาขาgoldpanด้วย,"['ได้โอกาสมาทาน', 'ที่ใหญ่มากลูกค้า', 'รวดเร็ว', 'ขอแสดงความชื่นชม', '👏🏻']"
แสงสีใน<mask>ที่<mask>มาก<mask>ลอง,"['สดในอย่างมาก', 'มากๆๆ', 'สวย', 'ไปด้เลยค่า']"
<mask>อารมไปแดกบาบี<mask><mask>โอ้ย,"['ไปเลย', 'คุ้มค่า']"
อยากโฮการในเด้ในโรเซ่มาก<mask>,"['ดีค่ะ', 'ชอบมาก', 'เย็นสบาย', 'ไม่อับชื้น']"
วันนี้อร่อยป้ะอีป๋องดำแดงแดกแล้ว<mask>เลย,"['ดีค่ะ', 'ชอบมาก', 'เย็นสบาย', 'ไม่อับชื้น']"
เอ็มเคบุเฟต์<mask>เคยกินหาล่ะอิ่มไว5,['ชอบกินเป็ด']
โอ๊ยๆๆๆทอรีฟิลที่อุดรจน<mask>จะร้าพี่ก่อน,"['ผิวสวย', 'ง่าย', 'ฟิน', 'บอกเลยว่าไม่ขี้เกียจที่']"
โอ้ย<mask>นิ้วเบียร์ช้างที่นั่งมัน<mask>,['สู้ๆๆ']
ไฮเนเก้น<mask>ไปนานแล้วครับคิดถึงkroster,"['พาไป', 'กินหน่อย']"
4น้ำมันไม่หม่าล่าให้หรือฉันนั้นไม่ถามก่อน,"['คุณชื่นชอบ', 'สะอาด', 'หมดจดไม่เหลือคราบ', 'ไม่แห้งตึง', 'ใช้แล้วไม่แพ้', 'ไม่เป็นสิว']"
ในperiperasugarเบอร์1ในเบอร์3ในในใน<mask>,['ที่ชอบ']
ในทุกอย่างแต่คืองง<mask>ถ้ามีจะดีเลย,"['สดในอย่างมาก', 'มากๆๆ', 'สวย', 'ไปด้เลยค่า']"
กดเข้าตอน11.00คูปอง<mask>5ขี้ผงแท้,[]
ก็ปากดีกับ<mask>ไงกรำงานมันเลยต้องตรงกัน,"['รู้สึกดี', 'บริการโคดี']"
กำลังบอกว่าสีเมขอมิดแฮ้ง<mask><mask>ตุ้บๆๆ,['เครื่องแรงมาก']
กิน285ที่หายใจไม่ออก<mask>สุดใน,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินก๋วยเตี๋ยว', 'อยากกิน', 'อร่อย', 'สุดๆ']"
กู<mask>กินไฮเนเก้นก็เพราะคลิปนี่แหละ🙈,['ได้ก็เพราะบุหรี่ไฟฟ้า']
<mask>ตัวเองที่กินบาบีก้อนเดียว<mask>แปดร้อย,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณจริงๆ', 'ขอบคุณ']"
<mask>เบียร์ช้างว่ะแดกนิดเดียวยัง<mask>ได้,['ยินดี']
ขอ<mask>ของบุหรี่ไฟฟ้าคือพ.ศ.รัฐบาล<mask>จบ!!!,"['ง่าย', 'ที่สุดแห่ง', 'อ่อนโยนต่อผิว']"
ขอแสดงความ<mask>คะวันนี้คุณ<mask>5,"['อยากไป', 'อยากไป', 'อยากไป', 'อยากไป', 'อยากไปเชียร์', 'อยากไป', 'ถ้าได้ไป', 'ได้ด้วย', 'ได้ไปด้', 'ไปดูเถอะค่ะ']"
<mask>ก็พอๆๆกันอะเผลอๆๆ<mask>เยอะกว่า555,"['ดีใจ', 'แฮปปี้', 'ยิ้มแก้มแตกกันทั้ง', 'ไปเลยจ้า']"
เคยแพลนจะไปกินเอ็มเคเดียวพ.ศ.<mask>ตังค์,"['เราจะเป็นเดียวที่นั่ง', 'กดหัวใจให้ความ', 'ชอบ', 'และรสชาติหวาน', 'สนุก']"
ค้าเคยใช้supermomใช้ดีอยู่ทาไปนานปากดำ,"['มากค่ะ', 'เย็นๆ', 'เราชอบ', 'มันแห้งสบาย', 'ไม่เหนียว', 'ผ้านุ่มนะ', 'ติดใจ', 'ชอบมาก']"
<mask>ตอนนี้สีเมออฟป๋องละ100ละอย่าง<mask>,"['ป่ะ', 'ๆๆหิว']"
จริงเมื่อคืนวานกินเบียร์ยูแล้ว<mask>เลย,"['กินเอ็มเคแล้ว', 'อยากกิน']"
จะส่งเมลล์ไปแจ้งแสนสิริสำนักงานใหญ่<mask>ละ,"['อยากกิน', 'อยากกิน', 'อยากกิน', 'อยากกินบ', 'อยากกิน', 'ไปด้วย', 'ก็จะไปกิน']"
ใช้ในน.<mask>ยัง<mask>ยังดำอยู่เลยค่ะ,"['สู้ๆๆ', 'ลงชื่อ']"
ใช้ของeucerinดีที่สุดถึงจะ<mask>แต่ก็คุ้มน.,"['แนะนํา', 'wo', 'ชอบ', 'ติดใจ', 'มากๆๆ', 'มันต้องมี', 'จัดไป', 'เลยค่าการ', 'ไปลอง', 'เพื่อนบอกว่าหรู', 'เลิศ', 'อร่อย', 'มากค่ะ']"
้นเหตุทั้งม่วนมิใช่อะไรอยากเก็บภาษีละสิมึง,"['อยาก', 'อยาก', 'อยากอีกละ', 'อยาก']"
้ามีรถไฟฟ้าไปถึงเราก็ไปปปแต่นี่คือไปยากอะ,"['สุดตรงประหยัดน้ํามัน', 'คุณภาพก็ต้องนี่เลย', 'ไปกันไป', 'เริ่ด', 'อยากมอบมง', 'ดีไซน์กะทัดรัด', 'ขอบคุณ']"
นกเหล็ก<mask><mask>ไข่เลยดีงาม,['น่ารักมากๆ']
น้ำยิ้มไม่หน่อยเค้าไม่กินเนื้อ<mask>บบอ่ะ,['หอมไม่อันตราย']
างจริงค่ะแล้วแต่ละถาดคือได้ไม่เท่ากับ🤣,"['คือสุดจริง', 'สนุก', '❤', '💙']"
บางทีผมก็<mask>ความคิดหน่วยงานนึงในไทย,['ดี๊ดี']
<mask><mask><mask>แหม,"['ต้องรุ่นนี้', 'มันเป็นรถที่เสน่ห์', 'มากๆๆ', 'ใกล้แล้วๆๆปล', 'ไปให้ถึง']"
บียร์ช้างกลิ่นดีๆๆแม่ลงเหมือนเยี่ยวอะสาบไฟ,"['เย็นๆ', 'ดีๆๆกับ', 'ดีใจ', 'อยากไป']"
<mask><mask>.และการเตรียมของก่อนเถอะ,['ขอบคุณที่']
โปรฯฯดีครับแต่4จ่าย3คนไม่นี่สิครับ<mask>,"['ชอบ', 'กลิ่นหอม']"
ไปบอกซีพีเซ็นทรัลเบียร์ช้างสิงห์นู้น<mask>,"['อยากไป', 'อยากไป', 'อยากไป', 'อยากไปดื่ม', 'อยากไป']"
ผู้นำเรื่อง<mask>คนด่าทุกโพสเน็ต<mask>ๆ,"['แนะนํา', 'สวยมาก', 'เส้นละเอียดแถม', 'สนุก', 'ชอบ']"
เพลานี้น่า<mask>การเสียแล้วน้องพี่🤣,"['โอ้ยโคตร', 'ดีอ่ะ', 'รักในความ', 'ชอบ', 'สุดๆ', 'าหมดไม่กั๊ก']"
<mask>ตรงที่กู<mask>เบียร์ช้างเนี่ยแหละ,"['ชอบ', 'มีความสุข', 'ข้าวราคาถูก']"
ม่างละบอกนึกถึงเบียร์ช้าง<mask>ดี5,['ดีสุดละ']
โมเดสีไม่ห่อตัวแบบเย็น<mask>ใส่แล้วหาชา,"['ที่สําคัญเนื้อดี', 'น้ําหอมไม่ใส่เคมี', 'ที่ชอบ', 'สวยมาก', 'สวย', 'เกลี่ยง่าย']"
ไม่ถามก็ไม่บอกครับร้านก็หรูไม่ว่า<mask>เลย,"['ไม่บอกก็รู้ว่า', 'จะพาไป', '😘']"
<mask>กินสปายาอ่ะง่วงกินกาแฟมิได้🤷🏻\u200d♀️,"['พาไป', 'กินมั่ง', 'อยากกิน']"
<mask><mask>กลิ่นเต็มคอเลย,"['อร่อย', 'ชอบมากๆ']"
<mask>อาหารเช้าไม่ราคาห้องน้ำ<mask>,['ดีราคาไม่แพง']
<mask>ไปอีกชิสติดีหม้อเนี่ยล้างจน<mask>,"['ดีพอใจ', 'มากครับเบรคนุ่ม']"
ลิปเมเบอลีในคือถูกระชากลากขูดก็ยังไม่ออก<mask>,['ดี๊ดี']
<mask>กินนานแล้วบาบีก้อนหมูฟีสี<mask>มาก,['สวยมาก']
"เลือกรีโว่ขับสบายอีซุคลาดแข็งเกีย1,2<mask>",['อยากขับรีโว่']
วอแว<mask>tarteแต่เอาตลับเล็ดวันนี้<mask>ละ,"['ที่สุด', 'ด้วยความเบาบางเนียน', 'ได้ฟิว', 'ดุดันไม่แอลกอฮอล์', 'รับรองว่าไม่แพ้', 'ดีในราคา', 'ดีงาม', 'ใช้ง่าย', 'อยากดู', 'สะดวก', 'คุ้ม']"
ั่งกะเพราเป็ดเจอแต่พริกไม่เจอใบกะเพราเลย,"['ที่สําคัญไม่กินเนื้อ', 'อร่อย', 'ค่ะไม่เคยเจออะไรแปลกๆ']"
สาขาเซ็นทรัลพิษณุโลกบอกขนมจีน<mask>,"['ดีค่ะ', 'ชอบมาก', 'เย็นสบาย', 'ไม่อับชื้น']"
<mask>ที่<mask><mask>,"['ขอบคุณ', 'ขอบคุณ', 'ขอบคุณ', 'ขอบคุณทุกท่าน', 'ขอบคุณ', 'ไม่แพ้']"
ากฉันซื้อทอมฟอร์ดฉันต้องกินมาม่า3เดือนน.,"['ไม่ผิดหวัง', '❤']"
หายแล้วแค่<mask>จิ๋มนิดหน่อย5,"['ดีใจมาก', '💕', '😍']"
หิวอีกนิดจะขับไปซื้อแมคแล้ว<mask>โว้ย,['ตื่นเต้นมากจะ']
อิผ้าอนามัย<mask>ติดทุกอย่างยกเว้นกางเกง,['อาหารอร่อย']
ี๋almera1.2ในขับตัวโลวงไม่คุยอะค่ะธรรม,"['เป็นรถแบบว่าดูไม่เบื่อ', 'เยี่ยม', 'ไปด้', 'สนุก']"
เอาความ<mask>ของสื่อบ้านเราไปโชว์เค้าหน่อยน.,"['กําลังใจ', 'จังหวะทํานองติดหูมาก', 'อยากไป', 'อยากไป', 'อยากไป', 'อยากไปโยก', 'อยากไป', 'เลยค่ะเป็นเพลงที่', 'เราชอบ', 'มากๆๆ', 'ก็อยากจะไป', 'axเราไป', '✨']"
5หวังว่ากุจะหาย<mask>ในวันพรุ่งนี้นะ,['น่าไป']
ordfiestaฟอร์ดเฟียสต้าประตูชอบปิดมิได้,"['ชอบ', 'ชอบ', 'ชอบมิใช่', 'ชอบ']"
<mask>นอน<mask>๊บหัวใจมันกระซับกระซ่ายยย,"['จะกิน', 'ก็ชอบ', 'อร่อย', 'ทิสุด']"
กว่าจะได้ชุดไทย<mask>ตังเช่า<mask>ค่าก้อนอีก,['ชอบ']
